beta1,beta_v,J0,J1,Jz,Jc_exact,sigma,sum_J,beta_out,beta_out_fixed,convergence_steps,final_error,P01,P10,threshold,margin,confidence_score,logic_output,energy_conserved,second_law_valid
1.7142857142857142,0.8572196235511854,1.7279575803715595e-09,-2.3650825059642855e-09,6.371247443124168e-10,6.371247443124168e-10,8.253660382118764e-10,-1.8128030929958973e-16,0.15255993755731978,2.00000004320693,146,0.0008061861926344782,0.06763483816790652,0.04405828410179739,0.1525599452124234,7.655103606563074e-09,0.3852127881352413,0,True,True
1.7857142857142856,0.6429581451218179,2.137758662099486e-09,-2.8207479743230287e-09,6.829891598503281e-10,6.829891598503281e-10,1.1474228011487084e-09,-1.5237321482944271e-16,0.15255993730649592,2.000000046317248,146,0.0008061864176578393,0.0612049088964782,0.04437819851758126,0.1525599452124234,7.90592746824359e-09,0.39783450614908533,0,True,True
1.857142857142857,0.4286970222483363,2.5042112813209697e-09,-3.228097685265439e-09,7.238862758226438e-10,7.238862758226438e-10,1.5148353605460022e-09,-1.2812182547674796e-16,0.1525599370828372,2.0000000490907057,146,0.000806186630024186,0.055348066479388086,0.04466960152011991,0.1525599452124234,8.129586198668548e-09,0.4090892464590559,0,True,True
1.9285714285714284,0.21443653937116625,2.832031557602809e-09,-3.592399166697833e-09,7.603675015143539e-10,7.603675015143539e-10,1.919783554998681e-09,-1.0758066976885187e-16,0.1525599368833282,2.0000000515646974,146,0.0008061820160207844,0.05002026577801914,0.04493468402153619,0.1525599452124234,8.329095191328406e-09,0.41912874680685885,0,True,True
2.0,0.00017698327392240705,3.1253879150052295e-09,-3.918307299767337e-09,7.929192944011878e-10,7.929192944011878e-10,2.3556134326256413e-09,-9.036091946470501e-17,0.1525599367053086,2.000000053772213,146,0.0008061821214501996,0.045179531868275086,0.04517553403443296,0.1525599452124234,8.507114790390347e-09,0.42808687848238247,0,True,True
2.071428571428571,-0.2140813526503918,3.387974509587186e-09,-4.209946611056993e-09,8.219720256463758e-10,8.219720256463758e-10,2.8166699043051876e-09,-7.582343154373205e-17,0.1525599365464246,2.000000055742438,146,0.0008061894107520284,0.0407861305020876,0.04539412817220364,0.1525599452124234,8.665998779688877e-09,0.43608208634021783,0,True,True
2.142857142857143,-0.4283381642622358,3.6230721168739677e-09,-4.470979438851514e-09,8.479072583310128e-10,8.479072583310128e-10,3.2981547924684226e-09,-6.364653314669672e-17,0.15255993640458979,2.000000057501248,146,0.0008061902801630716,0.03680266809781667,0.04559232665887661,0.1525599452124234,8.807833601354176e-09,0.4432193623218926,0,True,True
2.2142857142857144,-0.6425931325726607,3.833599263460439e-09,-4.7046631373093635e-09,8.710638204511122e-10,8.710638204511122e-10,3.796005659828963e-09,-5.3397812299664473e-17,0.1525599362779509,2.000000059071622,146,0.0008061859412536454,0.033194133902561124,0.045771871218826005,0.1525599452124234,8.934472495170098e-09,0.4495919633839305,0,True,True
2.2857142857142856,-0.8568459195925349,4.022155648158208e-09,-4.913898636888397e-09,8.91742943865058e-10,8.91742943865058e-10,4.3067918967853925e-09,-4.486513036613753e-17,0.15255993616486063,2.0000000604739863,146,0.0008061898242038568,0.029927895683763396,0.04593438528078307,0.1525599452124234,9.047562754549432e-09,0.45528278304692,0,True,True
2.3571428571428568,-1.071096164059726,4.191059375940666e-09,-5.1012720783522445e-09,9.10212664899364e-10,9.10212664899364e-10,4.827625313019925e-09,-3.751221447107161e-17,0.15255993606385318,2.0000000617265195,146,0.0008061918874254781,0.026973658940213523,0.046081375998710344,0.1525599452124234,9.14857020695159e-09,0.4603655832756346,0,True,True
2.4285714285714284,-1.2853434769751848,4.342379149552614e-09,-5.269090809533956e-09,9.267116285242452e-10,9.267116285242452e-10,5.356083041729298e-09,-3.1457097290818594e-17,0.15255993597362338,2.000000062845405,146,0.0008061900893321927,0.02430339825817277,0.046214237660061025,0.1525599452124234,9.238800002808745e-09,0.464906040599453,0,True,True
2.5,-1.4995874368813984,4.477962293413867e-09,-5.419414725796728e-09,9.414524058433009e-10,9.414524058433009e-10,5.890140968527718e-09,-2.6539559730991246e-17,0.15255993589300895,2.0000000638450577,146,0.0008061846102023484,0.021891268134935818,0.0463342561168535,0.1525599452124234,9.319414434605378e-09,0.4689626427870048,0,True,True
2.571428571428571,-1.7138275848172237,4.599459287988687e-09,-5.554083713030676e-09,9.546244029577687e-10,9.546244029577687e-10,6.428116212852367e-09,-2.208422060876375e-17,0.15255993582097374,2.000000064738323,146,0.0008061909693668767,0.019713499386626112,0.046442613935015906,0.1525599452124234,9.391449645734795e-09,0.4725875296532365,0,True,True
2.642857142857143,-1.9280634188821335,4.708345347747306e-09,-5.674741788279264e-09,9.663964220029305e-10,9.663964220029305e-10,6.968617425399878e-09,-1.8529027907717735e-17,0.1525599357565948,2.0000000655366486,146,0.0008061878945219703,0.0177482861699693,0.046540396011577126,0.1525599452124234,9.455828592352944e-09,0.47582714531339887,0,True,True
2.714285714285714,-2.1422943883404653,4.805939467914926e-09,-5.782858413284749e-09,9.769189298231736e-10,9.769189298231736e-10,7.510501847220183e-09,-1.554664909546826e-17,0.15255993569904913,2.0000000662502377,146,0.0008061891678771138,0.015975667687765784,0.04662859545707587,0.1525599452124234,9.513374255032403e-09,0.4787229030072385,0,True,True
2.7857142857142856,-2.3565198871926514,4.893421287504229e-09,-5.879747366181158e-09,9.863260656832752e-10,9.863260656832752e-10,8.052838237422178e-09,-1.2993654155725928e-17,0.15255993564760328,2.000000066888187,146,0.0008061879204908362,0.01437740781481989,0.04670811958202462,0.1525599452124234,9.564820102614391e-09,0.48131171165093184,0,True,True
2.857142857142857,-2.5707392471355597,4.971846050999464e-09,-5.966583488467996e-09,9.947374266887325e-10,9.947374266887325e-10,8.594874892434917e-09,-1.077979954481758e-17,0.1525599356016031,2.0000000674586076,146,0.000806189995851414,0.0129368751695281,0.046779795861690496,0.1525599452124234,9.610820278505017e-09,0.4836264884221237,0,True,True
2.9285714285714284,-2.7849517298282054,5.0421579088691336e-09,-6.044417572185731e-09,1.0022596542275403e-09,1.0022596542275403e-09,9.13601208672697e-09,-9.089057262010218e-18,0.15255993556046551,2.0000000679687306,146,0.0008061875415296127,0.011638925557004302,0.04684437778328771,0.1525599452124234,9.651957871836814e-09,0.48569657497339247,0,True,True
3.0,-2.999156518372017,5.105201755694474e-09,-6.1141896110100025e-09,1.0089878475035507e-09,1.0089878475035507e-09,9.675778351984744e-09,-7.811977663782967e-18,0.15255993552367034,2.0000000684250065,146,0.0008061944236040508,0.010469788211461339,0.046902550504477676,0.1525599452124234,9.688753049852394e-09,0.4875481466622671,0,True,True
3.071428571428571,-3.2133527079065636,5.161733779404392e-09,-6.1767406073985264e-09,1.0150068215461884e-09,1.0150068215461884e-09,1.0213810089214123e-08,-6.447946080335062e-18,0.15255993549075367,2.0000000688331863,146,0.0008061888550856822,0.009416956856763822,0.04695493627242178,0.1525599452124234,9.721669719242598e-09,0.48920454775670236,0,True,True
3.142857142857143,-3.4275392952124855,5.212430868880182e-09,-6.232823100346432e-09,1.020392226146884e-09,1.020392226146884e-09,1.0749834071621627e-08,-5.319365461190934e-18,0.15255993546130187,2.0000000691984,146,0.0008061919273899543,0.008469086272872517,0.047002099569122074,0.1525599452124234,9.751121521350825e-09,0.49068659312000623,0,True,True
3.214285714285714,-3.641715167202454,5.2578990077548256e-09,-6.28311055839814e-09,1.0252115461186067e-09,1.0252115461186067e-09,1.1283652451386033e-08,-4.5247079359622664e-18,0.1525599354349459,2.0000000695252242,146,0.0008061858573392422,0.007615894791149397,0.04704455196196414,0.1525599452124234,9.77747749431046e-09,0.49201285313549364,0,True,True
3.2857142857142856,-3.8558790881691762,5.298680769877509e-09,-6.328205763399918e-09,1.0295249896238378e-09,1.0295249896238378e-09,1.1815129935302484e-08,-3.8985710897484145e-18,0.15255993541135646,2.0000000698177427,146,0.0008061875875585434,0.006848072932899794,0.04708275664876147,0.1525599452124234,9.801066930270608e-09,0.49319989812714543,0,True,True
3.3571428571428568,-4.070029685645959,5.3352620119626185e-09,-6.368648295998509e-09,1.0333862809746353e-09,1.0333862809746353e-09,1.2344182837647857e-08,-3.0612552399449277e-18,0.15255993539023982,2.000000070079598,146,0.0008061876979253979,0.00615719824386141,0.047117132694651565,0.1525599452124234,9.822183566488008e-09,0.49426250925971954,0,True,True
3.4285714285714284,-4.284165434720341,5.368077853117057e-09,-6.404921220816706e-09,1.0368433651046416e-09,1.0368433651046416e-09,1.2870769755162764e-08,-2.595007856644207e-18,0.1525599353713337,2.000000070314042,146,0.0008061903539038073,0.005535656254466885,0.04714805896431089,0.1525599452124234,9.841089693152227e-09,0.4952138852487941,0,True,True
3.5,-4.498284640624631,5.397518017815934e-09,-6.4374570579671325e-09,1.0399390380294294e-09,1.0399390380294294e-09,1.3394883638131631e-08,-2.1217687292158817e-18,0.1525599353544041,2.0000000705239764,146,0.0008061870497864942,0.004976567404548465,0.047175877757496536,0.1525599452124234,9.858019289765707e-09,0.49606580018667845,0,True,True
3.571428571428571,-4.712385419408615,5.423931611213784e-09,-6.466643118028753e-09,1.0427115049285117e-09,1.0427115049285117e-09,1.3916545071210641e-08,-1.8864569380501654e-18,0.15255993533924195,2.0000000707119927,146,0.0008061890288254825,0.004473719705676358,0.04720089815918313,0.1525599452124234,9.873181439079559e-09,0.49682877533521913,0,True,True
3.642857142857143,-4.926465676479299,5.447631387223896e-09,-6.4928262688887485e-09,1.0451948801284752e-09,1.0451948801284752e-09,1.4435796589987547e-08,-1.5363771456151668e-18,0.1525599353256608,2.0000000708804038,146,0.0008061884748112036,0.004021506869413953,0.04722339911780071,0.1525599452124234,9.886762575295194e-09,0.4975121922576477,0,True,True
3.714285714285714,-5.140523082769689,5.468897564694803e-09,-6.516317195572681e-09,1.0474196297535307e-09,1.0474196297535307e-09,1.4952697892474218e-08,-1.1243473155642342e-18,0.15255993531349413,2.0000000710312764,146,0.0008061854157579151,0.0036148716011527205,0.04724363226650613,0.1525599452124234,9.89892925962188e-09,0.4981244324875286,0,True,True
3.7857142857142856,-5.354555048273797,5.4879812389464325e-09,-6.537394209410351e-09,1.0494129674353308e-09,1.0494129674353308e-09,1.5467321824055635e-08,-3.028587396013371e-18,0.1525599353025928,2.000000071166456,146,0.0008061852441376971,0.003249253743304513,0.047261824503211584,0.1525599452124234,9.909830595011826e-09,0.4986729990407439,0,True,True
3.8571428571428568,-5.56855869265743,5.505107432870495e-09,-6.556306642536842e-09,1.0511992069983099e-09,1.0511992069983099e-09,1.597975097919519e-08,-2.668037151384676e-18,0.15255993529282427,2.0000000712875905,146,0.0008061877788183291,0.0029205429455610226,0.0472781803453997,0.1525599452124234,9.919599114338595e-09,0.4991645611095566,0,True,True
3.9285714285714284,-5.782530812624117,5.5204778254781365e-09,-6.573277902933977e-09,1.052800075210744e-09,1.052800075210744e-09,1.649007494809839e-08,-2.245096395463863e-18,0.15255993528406941,2.0000000713961543,146,0.0008061891237680363,0.0026250355412971845,0.04729288407568488,0.1525599452124234,9.928353972288306e-09,0.4996051146819008,0,True,True
4.0,-5.996467845682297,5.534273191892136e-09,-6.58850818498055e-09,1.054234991355919e-09,1.054234991355919e-09,1.6998387960728077e-08,-1.7324950514065892e-18,0.1525599352762221,2.0000000714934636,146,0.0008061879025993424,0.0023593953160744047,0.04730610169374274,0.1525599452124234,9.936201278426537e-09,0.4999999993016553,0,True,True
